Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.928388746803069,0.9189228021921632,0.9189228021921633,0.9278808268406442,0.3261284828186035
XGBClassifier,0.9258312020460358,0.9179307183371306,0.9179307183371305,0.9254623585201114,0.24434709548950195
RandomForestClassifier,0.9271099744245525,0.917865719739732,0.917865719739732,0.9266194526163376,0.47373485565185547
LGBMClassifier,0.9258312020460358,0.9173696778122156,0.9173696778122156,0.925411117360529,0.21642041206359863
AdaBoostClassifier,0.9130434782608695,0.9039936506633277,0.9039936506633277,0.9125509651813098,0.18849515914916992
BaggingClassifier,0.9104859335038363,0.8996353236588053,0.8996353236588052,0.9097849590374704,0.1545867919921875
ExtraTreeClassifier,0.8887468030690537,0.8844701245920483,0.8844701245920483,0.8888385636886502,0.013962745666503906
LabelPropagation,0.8925831202046036,0.8837140882749372,0.8837140882749372,0.8921214706729222,0.3650236129760742
DecisionTreeClassifier,0.8900255754475703,0.8827220044199047,0.8827220044199046,0.8897655403783464,0.031914472579956055
LabelSpreading,0.8913043478260869,0.882095965297591,0.882095965297591,0.890800712989367,0.5245997905731201
KNeighborsClassifier,0.887468030690537,0.879485758465212,0.8794857584652119,0.8871311596361877,0.12266993522644043
SVC,0.8861892583120204,0.8716961897138009,0.8716961897138009,0.8848973703193654,0.15957283973693848
SGDClassifier,0.8618925831202046,0.8622713930909911,0.8622713930909912,0.8626765366695051,0.028922319412231445
LogisticRegression,0.8721227621483376,0.8578241206373968,0.8578241206373968,0.870825914114755,0.03390955924987793
BernoulliNB,0.8670076726342711,0.8558399529273315,0.8558399529273315,0.8662544173361207,0.014958858489990234
NuSVC,0.8695652173913043,0.8512216315332143,0.8512216315332143,0.8674645255769328,0.3420851230621338
CalibratedClassifierCV,0.8631713554987213,0.8453751787461428,0.8453751787461428,0.8611519581739968,0.5964043140411377
LinearSVC,0.8593350383631714,0.842764971913764,0.842764971913764,0.8575629557843379,0.18649983406066895
NearestCentroid,0.8478260869565217,0.8388616350910323,0.8388616350910323,0.8475132628247628,0.01894998550415039
LinearDiscriminantAnalysis,0.8388746803069054,0.8185581258509684,0.8185581258509684,0.8361316335055093,0.04787325859069824
RidgeClassifierCV,0.8375959079283888,0.8163789623487072,0.8163789623487072,0.8346020078322112,0.02992081642150879
RidgeClassifier,0.8363171355498721,0.815321879896276,0.815321879896276,0.8333773268226942,0.027924299240112305
PassiveAggressiveClassifier,0.7979539641943734,0.8038068652202768,0.8038068652202768,0.7999561420395804,0.01695418357849121
QuadraticDiscriminantAnalysis,0.819693094629156,0.7892369164665394,0.7892369164665394,0.8134279212504437,0.019946813583374023
Perceptron,0.7864450127877238,0.7858775152746704,0.7858775152746704,0.7879982693156683,0.01695418357849121
GaussianNB,0.8145780051150895,0.7844475461318993,0.7844475461318993,0.8083607867943604,0.02393794059753418
DummyClassifier,0.5268542199488491,0.5050869954911499,0.50508699549115,0.5268542199488491,0.014960289001464844
